,Location,value
842,WARRIGAL_RD N of HIGH STREET_RD,354
854,WARRIGAL_RD N of HIGH STREET_RD,303
866,WARRIGAL_RD N of HIGH STREET_RD,292
878,WARRIGAL_RD N of HIGH STREET_RD,272
890,WARRIGAL_RD N of HIGH STREET_RD,237
902,WARRIGAL_RD N of HIGH STREET_RD,226
914,WARRIGAL_RD N of HIGH STREET_RD,193
926,WARRIGAL_RD N of HIGH STREET_RD,207
938,WARRIGAL_RD N of HIGH STREET_RD,163
950,WARRIGAL_RD N of HIGH STREET_RD,133
962,WARRIGAL_RD N of HIGH STREET_RD,161
974,WARRIGAL_RD N of HIGH STREET_RD,126
986,WARRIGAL_RD N of HIGH STREET_RD,116
998,WARRIGAL_RD N of HIGH STREET_RD,109
1010,WARRIGAL_RD N of HIGH STREET_RD,128
1022,WARRIGAL_RD N of HIGH STREET_RD,124
1034,WARRIGAL_RD N of HIGH STREET_RD,111
1046,WARRIGAL_RD N of HIGH STREET_RD,134
1058,WARRIGAL_RD N of HIGH STREET_RD,96
1070,WARRIGAL_RD N of HIGH STREET_RD,91
1082,WARRIGAL_RD N of HIGH STREET_RD,79
1094,WARRIGAL_RD N of HIGH STREET_RD,74
1106,WARRIGAL_RD N of HIGH STREET_RD,64
1118,WARRIGAL_RD N of HIGH STREET_RD,37
1130,WARRIGAL_RD N of HIGH STREET_RD,35
1142,WARRIGAL_RD N of HIGH STREET_RD,37
3,WARRIGAL_RD N of HIGH STREET_RD,25
15,WARRIGAL_RD N of HIGH STREET_RD,27
27,WARRIGAL_RD N of HIGH STREET_RD,25
39,WARRIGAL_RD N of HIGH STREET_RD,11
51,WARRIGAL_RD N of HIGH STREET_RD,11
63,WARRIGAL_RD N of HIGH STREET_RD,12
75,WARRIGAL_RD N of HIGH STREET_RD,11
87,WARRIGAL_RD N of HIGH STREET_RD,11
99,WARRIGAL_RD N of HIGH STREET_RD,13
111,WARRIGAL_RD N of HIGH STREET_RD,8
123,WARRIGAL_RD N of HIGH STREET_RD,10
135,WARRIGAL_RD N of HIGH STREET_RD,5
147,WARRIGAL_RD N of HIGH STREET_RD,5
159,WARRIGAL_RD N of HIGH STREET_RD,4
171,WARRIGAL_RD N of HIGH STREET_RD,7
183,WARRIGAL_RD N of HIGH STREET_RD,7
195,WARRIGAL_RD N of HIGH STREET_RD,19
207,WARRIGAL_RD N of HIGH STREET_RD,12
219,WARRIGAL_RD N of HIGH STREET_RD,20
231,WARRIGAL_RD N of HIGH STREET_RD,15
243,WARRIGAL_RD N of HIGH STREET_RD,24
255,WARRIGAL_RD N of HIGH STREET_RD,39
267,WARRIGAL_RD N of HIGH STREET_RD,63
279,WARRIGAL_RD N of HIGH STREET_RD,68
291,WARRIGAL_RD N of HIGH STREET_RD,98
303,WARRIGAL_RD N of HIGH STREET_RD,158
315,WARRIGAL_RD N of HIGH STREET_RD,251
327,WARRIGAL_RD N of HIGH STREET_RD,223
339,WARRIGAL_RD N of HIGH STREET_RD,287
351,WARRIGAL_RD N of HIGH STREET_RD,354
363,WARRIGAL_RD N of HIGH STREET_RD,362
375,WARRIGAL_RD N of HIGH STREET_RD,360
387,WARRIGAL_RD N of HIGH STREET_RD,406
399,WARRIGAL_RD N of HIGH STREET_RD,405
411,WARRIGAL_RD N of HIGH STREET_RD,362
423,WARRIGAL_RD N of HIGH STREET_RD,289
435,WARRIGAL_RD N of HIGH STREET_RD,344
447,WARRIGAL_RD N of HIGH STREET_RD,386
459,WARRIGAL_RD N of HIGH STREET_RD,331
471,WARRIGAL_RD N of HIGH STREET_RD,318
483,WARRIGAL_RD N of HIGH STREET_RD,285
495,WARRIGAL_RD N of HIGH STREET_RD,319
507,WARRIGAL_RD N of HIGH STREET_RD,287
519,WARRIGAL_RD N of HIGH STREET_RD,274
531,WARRIGAL_RD N of HIGH STREET_RD,254
543,WARRIGAL_RD N of HIGH STREET_RD,287
555,WARRIGAL_RD N of HIGH STREET_RD,279
567,WARRIGAL_RD N of HIGH STREET_RD,235
579,WARRIGAL_RD N of HIGH STREET_RD,240
591,WARRIGAL_RD N of HIGH STREET_RD,323
603,WARRIGAL_RD N of HIGH STREET_RD,281
615,WARRIGAL_RD N of HIGH STREET_RD,270
627,WARRIGAL_RD N of HIGH STREET_RD,239
639,WARRIGAL_RD N of HIGH STREET_RD,274
651,WARRIGAL_RD N of HIGH STREET_RD,278
663,WARRIGAL_RD N of HIGH STREET_RD,289
675,WARRIGAL_RD N of HIGH STREET_RD,283
687,WARRIGAL_RD N of HIGH STREET_RD,258
699,WARRIGAL_RD N of HIGH STREET_RD,282
711,WARRIGAL_RD N of HIGH STREET_RD,257
723,WARRIGAL_RD N of HIGH STREET_RD,275
735,WARRIGAL_RD N of HIGH STREET_RD,284
747,WARRIGAL_RD N of HIGH STREET_RD,286
759,WARRIGAL_RD N of HIGH STREET_RD,254
771,WARRIGAL_RD N of HIGH STREET_RD,313
783,WARRIGAL_RD N of HIGH STREET_RD,307
795,WARRIGAL_RD N of HIGH STREET_RD,301
807,WARRIGAL_RD N of HIGH STREET_RD,307
819,WARRIGAL_RD N of HIGH STREET_RD,312
831,WARRIGAL_RD N of HIGH STREET_RD,348
843,WARRIGAL_RD N of HIGH STREET_RD,350
855,WARRIGAL_RD N of HIGH STREET_RD,319
867,WARRIGAL_RD N of HIGH STREET_RD,318
879,WARRIGAL_RD N of HIGH STREET_RD,286
891,WARRIGAL_RD N of HIGH STREET_RD,231
903,WARRIGAL_RD N of HIGH STREET_RD,241
915,WARRIGAL_RD N of HIGH STREET_RD,206
927,WARRIGAL_RD N of HIGH STREET_RD,226
939,WARRIGAL_RD N of HIGH STREET_RD,184
951,WARRIGAL_RD N of HIGH STREET_RD,159
963,WARRIGAL_RD N of HIGH STREET_RD,135
975,WARRIGAL_RD N of HIGH STREET_RD,151
987,WARRIGAL_RD N of HIGH STREET_RD,151
999,WARRIGAL_RD N of HIGH STREET_RD,145
1011,WARRIGAL_RD N of HIGH STREET_RD,126
1023,WARRIGAL_RD N of HIGH STREET_RD,141
1035,WARRIGAL_RD N of HIGH STREET_RD,135
1047,WARRIGAL_RD N of HIGH STREET_RD,126
1059,WARRIGAL_RD N of HIGH STREET_RD,122
1071,WARRIGAL_RD N of HIGH STREET_RD,125
1083,WARRIGAL_RD N of HIGH STREET_RD,106
1095,WARRIGAL_RD N of HIGH STREET_RD,101
1107,WARRIGAL_RD N of HIGH STREET_RD,65
1119,WARRIGAL_RD N of HIGH STREET_RD,52
1131,WARRIGAL_RD N of HIGH STREET_RD,47
1143,WARRIGAL_RD N of HIGH STREET_RD,36
4,WARRIGAL_RD N of HIGH STREET_RD,32
16,WARRIGAL_RD N of HIGH STREET_RD,33
28,WARRIGAL_RD N of HIGH STREET_RD,25
40,WARRIGAL_RD N of HIGH STREET_RD,18
52,WARRIGAL_RD N of HIGH STREET_RD,11
64,WARRIGAL_RD N of HIGH STREET_RD,9
76,WARRIGAL_RD N of HIGH STREET_RD,16
88,WARRIGAL_RD N of HIGH STREET_RD,11
100,WARRIGAL_RD N of HIGH STREET_RD,9
112,WARRIGAL_RD N of HIGH STREET_RD,11
124,WARRIGAL_RD N of HIGH STREET_RD,11
136,WARRIGAL_RD N of HIGH STREET_RD,4
148,WARRIGAL_RD N of HIGH STREET_RD,11
160,WARRIGAL_RD N of HIGH STREET_RD,7
172,WARRIGAL_RD N of HIGH STREET_RD,6
184,WARRIGAL_RD N of HIGH STREET_RD,8
196,WARRIGAL_RD N of HIGH STREET_RD,10
208,WARRIGAL_RD N of HIGH STREET_RD,14
220,WARRIGAL_RD N of HIGH STREET_RD,15
232,WARRIGAL_RD N of HIGH STREET_RD,13
