,Location,value
897,WARRIGAL_RD N of HIGH STREET_RD,301
916,WARRIGAL_RD N of HIGH STREET_RD,331
935,WARRIGAL_RD N of HIGH STREET_RD,296
954,WARRIGAL_RD N of HIGH STREET_RD,302
973,WARRIGAL_RD N of HIGH STREET_RD,299
992,WARRIGAL_RD N of HIGH STREET_RD,290
1011,WARRIGAL_RD N of HIGH STREET_RD,281
1030,WARRIGAL_RD N of HIGH STREET_RD,308
1049,WARRIGAL_RD N of HIGH STREET_RD,294
1068,WARRIGAL_RD N of HIGH STREET_RD,303
1087,WARRIGAL_RD N of HIGH STREET_RD,296
1106,WARRIGAL_RD N of HIGH STREET_RD,265
1125,WARRIGAL_RD N of HIGH STREET_RD,306
1144,WARRIGAL_RD N of HIGH STREET_RD,312
1163,WARRIGAL_RD N of HIGH STREET_RD,322
1182,WARRIGAL_RD N of HIGH STREET_RD,343
1201,WARRIGAL_RD N of HIGH STREET_RD,317
1220,WARRIGAL_RD N of HIGH STREET_RD,397
1239,WARRIGAL_RD N of HIGH STREET_RD,385
1258,WARRIGAL_RD N of HIGH STREET_RD,388
1277,WARRIGAL_RD N of HIGH STREET_RD,324
1296,WARRIGAL_RD N of HIGH STREET_RD,348
1315,WARRIGAL_RD N of HIGH STREET_RD,361
1334,WARRIGAL_RD N of HIGH STREET_RD,372
1353,WARRIGAL_RD N of HIGH STREET_RD,396
1372,WARRIGAL_RD N of HIGH STREET_RD,315
1391,WARRIGAL_RD N of HIGH STREET_RD,334
1410,WARRIGAL_RD N of HIGH STREET_RD,309
1429,WARRIGAL_RD N of HIGH STREET_RD,271
1448,WARRIGAL_RD N of HIGH STREET_RD,251
1467,WARRIGAL_RD N of HIGH STREET_RD,262
1486,WARRIGAL_RD N of HIGH STREET_RD,228
1505,WARRIGAL_RD N of HIGH STREET_RD,196
1524,WARRIGAL_RD N of HIGH STREET_RD,176
1543,WARRIGAL_RD N of HIGH STREET_RD,152
1562,WARRIGAL_RD N of HIGH STREET_RD,146
1581,WARRIGAL_RD N of HIGH STREET_RD,167
1600,WARRIGAL_RD N of HIGH STREET_RD,122
1619,WARRIGAL_RD N of HIGH STREET_RD,150
1638,WARRIGAL_RD N of HIGH STREET_RD,171
1657,WARRIGAL_RD N of HIGH STREET_RD,120
1676,WARRIGAL_RD N of HIGH STREET_RD,116
1695,WARRIGAL_RD N of HIGH STREET_RD,113
1714,WARRIGAL_RD N of HIGH STREET_RD,99
1733,WARRIGAL_RD N of HIGH STREET_RD,91
1752,WARRIGAL_RD N of HIGH STREET_RD,61
1771,WARRIGAL_RD N of HIGH STREET_RD,55
1790,WARRIGAL_RD N of HIGH STREET_RD,49
1809,WARRIGAL_RD N of HIGH STREET_RD,36
5,WARRIGAL_RD N of HIGH STREET_RD,36
